premise,hypothesis,label,idx
Focus of the project will be on ozone layer preservation.,"2010, emissions from hfcs and sf6 accounted for more than number of the national inventory. As a ratifying partner to the Montreal Protocol on Substances that Deplete the Ozone Layer, Swaziland has already phased out its HCFCs production (which was replaced with HCs which have no global warming potential). As a progression beyond this current undertaking, thiss contribution will see Swaziland phasing out the consumption of ozone depleting gases as well as substitutes with GWP.",1,0
Focus of the project will be on decentralized water distribution.,A climate-responsive water governance structure is established.,0,1
Focus of the project will be on biosphere protection.,A considerable sample of these natural ecosystems benefits from a formal statute of protection.,1,2
Focus of the project will be on use of solids and liquids produced from biomass for direct power generation.,"A critical situation presently prevails in rwanda in terms of energy production and satisfaction of national needs. In terms of energy evaluation, the biomass constitutes wood combustible and vegetal residue cover nearly NUMBER of the national energy needs. Presently it represents the main source of energy for households, industries and craft industries. The big pressure on firewood for energy needs does not favor the implementation of the strategy and the policy for the protection of environment. The support of fuel products account for NUMBER which are almost exclusively used for transport, while electrical energy, accounts for 1.",1,3
Focus of the project will be on nutrient extraction.,"A focuses also on organisations, water harvesting using gravity, and soil amelioration with organic fertilisation.",0,4
Focus of the project will be on non-renewable waste-fired electric power plants.,"A further component of the electricity system is generation reserve, i.e., large thermal-electric plants powered by fossil fuels that spend much of the time on standby, to fill gaps when hydropower sources are in short supply.",1,5
Focus of the project will be on domestic and industrial waste water treatment plants.,A model farm reusing treated wastewater was created for use as a training and demonstration center.,1,6
Focus of the project will be on wastewater collection.,A model farm reusing treated wastewater was created for use as a training and demonstration center.,1,7
Focus of the project will be on wastewater to electricity generation.,A model farm reusing treated wastewater was created for use as a training and demonstration center.,0,8
Focus of the project will be on urban schemes using handpumps and local neighbourhood networks including those with shared connections.,"A municipal master plan (pd) instituted by a municipal law, is the main municipal planning instrument for urban expansion and development throughout the territory of the municipality (Cities Statute, Law All municipalities with populations greater than 50,000 must have a Municipal Master Plan.",0,9
"Focus of the project will be producing a drought-resistant crop that has many uses in the food sector as well as others; enhance and protect the marine ecosystem; encourage new and diverse livelihood options in the local area, and contribute to the reduction in use of land-based chemical fertilizers.",A National Climate Change Strategy and Action Plan for the period 2013-2020 has also been developed and paves the way to the strategic options to be adopted for coping with climate change challenges,1,10
Focus of the project will be on water resources data collection.,"A national water information system (nwis) was established and is available. it is hosted by the land-use division in the Ministry of Agriculture, Lands, Forestry and Fisheries.",1,11
Focus of the project will be on water resources conservation.,"A national water security through water conservation practices, wetlands restoration, water storage and efficient water use.",1,12
"Focus of the project will be on large scale transmission, conveyance and distribution water systems.","A network of transmission lines interconnects power plants in different river basins, thereby optimising availability of water resources in the arious reservoirs throughout the country. Vast quantities of water stored in the reservoirs of hydroelectric power plants serve to regulate downstream flows, storing water for use in periods of low rainfall.",1,13
